PUSH  FIND  POP
11     1     11     
17     2     21     
23     3     31     
29     4     40     
35     5     50     
40     6     59     
45     7     69     
51     7     79     
57     8     89     
64     8     99     
70     9     108     
76     10     118     
83     10     128     
88     11     137     
94     12     147     
100     13     157     
106     14     166     
113     14     175     
119     14     185     
125     15     194     
130     16     203     
136     17     212     
142     18     221     
148     19     230     
154     20     239     
159     21     248     
165     22     258     
171     23     267     
177     24     277     
183     25     286     
189     26     294     
194     27     304     
199     28     313     
205     29     322     
211     30     331     
217     31     340     
223     32     349     
229     33     358     
234     33     367     
240     34     376     
246     35     384     
251     36     393     
256     37     402     
262     38     411     
268     39     420     
274     40     429     
280     41     438     
286     42     448     
292     43     457     
298     44     466     
304     45     475     
310     46     484     
315     47     493     
320     48     502     
325     49     510     
331     49     518     
336     50     527     
341     51     535     
346     52     544     
351     53     553     
357     54     561     
363     55     570     
368     56     578     
374     56     587     
379     57     596     
384     58     604     
389     59     613     
394     60     622     
399     61     631     
404     62     640     
411     63     648     
417     64     657     
423     64     666     
428     65     676     
433     66     685     
438     67     694     
444     67     702     
450     68     710     
455     68     719     
461     68     728     
466     69     736     
472     70     745     
477     71     753     
483     72     762     
488     73     770     
493     74     778     
499     75     787     
505     76     795     
511     77     803     
517     78     812     
524     79     821     
529     80     830     
535     81     839     
541     82     848     
547     83     857     
553     83     866     
559     84     875     
565     85     884     
571     86     893     
576     87     902     
582     88     911     
587     89     920     
593     90     928     
599     91     937     
604     92     946     
609     93     954     
613     94     962     
618     95     971     
624     96     980     
630     96     989     
636     97     1009     
641     98     1016     
645     99     1023     
650     100     1030     
655     101     1037     
660     102     1044     
665     102     1051     
670     102     1058     
675     103     1065     
680     103     1072     
685     104     1079     
689     105     1087     
693     106     1094     
697     107     1101     
701     108     1108     
705     109     1115     
710     110     1122     
715     110     1129     
720     110     1136     
724     111     1143     
729     111     1150     
733     112     1158     
738     112     1165     
743     112     1172     
747     113     1179     
751     114     1185     
756     114     1192     
761     115     1200     
765     116     1207     
770     116     1214     
775     116     1221     
780     117     1228     
785     118     1235     
789     119     1242     
798     120     1249     
802     121     1256     
807     122     1263     
812     122     1270     
817     123     1277     
822     124     1285     
826     125     1292     
831     125     1299     
835     126     1307     
839     127     1315     
843     127     1323     
848     127     1330     
853     128     1337     
858     128     1344     
863     129     1352     
867     130     1359     
872     130     1366     
877     130     1373     
882     130     1380     
886     131     1388     
890     131     1395     
895     131     1402     
900     131     1409     
905     131     1416     
909     131     1423     
914     131     1429     
919     132     1435     
924     133     1442     
929     134     1448     
933     135     1469     
939     136     1480     
946     137     1487     
951     137     1494     
955     138     1501     
959     139     1509     
964     140     1516     
968     140     1523     
973     141     1530     
978     142     1537     
982     143     1544     
987     143     1551     
991     144     1559     
996     144     1566     
1001     144     1573     
1006     145     1580     
1011     146     1587     
1016     147     1594     
1021     148     1601     
1026     148     1608     
1031     149     1614     
1036     149     1621     
1041     150     1627     
1046     151     1634     
1050     152     1641     
1055     152     1648     
1060     153     1655     
1064     154     1663     
1069     155     1670     
1073     156     1678     
1078     157     1686     
1083     158     1693     
1087     159     1700     
1092     159     1707     
1097     160     1714     
1101     161     1721     
1106     162     1728     
1111     162     1735     
1116     162     1742     
1120     163     1749     
1125     163     1756     
1129     164     1763     
1134     165     1769     
1139     165     1776     
1143     166     1784     
1148     167     1792     
1153     168     1799     
1157     169     1806     
1161     170     1814     
1165     171     1821     
1183     172     1831     
1190     173     1843     
1197     174     1854     
1204     174     1866     
1210     175     1877     
1217     176     1888     
1224     177     1899     
1231     177     1909     
1237     178     1919     
1244     179     1930     
1251     180     1941     
1258     181     1952     
1264     182     1963     
1271     183     1973     
1278     184     1984     
1284     185     1995     
1290     186     2005     
1297     187     2015     
1303     188     2024     
1308     189     2034     
1315     190     2044     
1321     191     2054     
1328     192     2065     
1335     193     2075     
1342     194     2085     
1348     195     2095     
1354     196     2106     
1360     197     2117     
1366     198     2127     
1373     199     2138     
1380     200     2149     
1386     201     2159     
1393     202     2169     
1400     203     2179     
1407     203     2190     
1414     204     2200     
1422     205     2209     
1428     206     2219     
1434     207     2229     
1441     208     2239     
1447     209     2249     
1454     210     2259     
1461     211     2270     
1467     212     2280     
1473     213     2290     
1480     214     2301     
1486     215     2311     
1492     216     2320     
1499     217     2330     
1506     218     2341     
1513     219     2351     
1520     220     2361     
1527     221     2371     
1533     221     2382     
1540     222     2393     
1546     223     2403     
1553     224     2414     
1560     225     2424     
1567     226     2435     
1574     227     2446     
1581     228     2457     
1588     229     2467     
1596     230     2478     
1603     231     2489     
1610     232     2500     
1617     233     2511     
1624     234     2522     
1631     235     2532     
1637     236     2543     
1644     237     2553     
1651     238     2563     
1657     239     2574     
1664     240     2585     
1671     241     2596     
1678     242     2608     
1685     243     2619     
1692     244     2630     
1700     245     2651     
1704     246     2658     
1709     246     2665     
1714     246     2672     
1719     247     2679     
1724     248     2686     
1729     248     2693     
1733     249     2701     
1738     250     2708     
1742     251     2715     
1747     252     2722     
1752     252     2729     
1757     253     2736     
1761     254     2744     
1765     255     2751     
1769     256     2758     
1774     256     2765     
1779     256     2772     
1784     257     2778     
1789     257     2785     
1793     257     2792     
1798     257     2799     
1803     257     2806     
1807     258     2813     
1811     259     2820     
1816     260     2827     
1821     261     2834     
1825     262     2841     
1829     263     2848     
1834     264     2855     
1839     265     2862     
1844     265     2869     
1849     266     2876     
1854     267     2884     
1859     267     2891     
1864     267     2898     
1869     267     2905     
1873     268     2912     
1877     269     2919     
1881     270     2926     
1885     270     2933     
1890     271     2940     
1895     271     2947     
1899     272     2954     
1904     273     2961     
1908     274     2968     
1913     275     2975     
1917     276     2982     
1922     277     3002     
1928     277     3011     
1933     278     3020     
1938     279     3029     
1943     280     3037     
1949     281     3045     
1954     282     3054     
1959     283     3062     
1964     284     3070     
1970     285     3078     
1975     286     3086     
1981     287     3094     
1986     288     3103     
1991     289     3112     
1996     290     3120     
2001     291     3128     
2007     291     3136     
2012     292     3144     
2032     292     3152     
2037     293     3161     
2042     294     3169     
2048     294     3178     
2054     295     3186     
2059     296     3194     
2064     297     3202     
2069     298     3210     
2074     299     3218     
2080     299     3227     
2086     300     3235     
2092     301     3244     
2098     302     3252     
2104     302     3261     
2110     303     3269     
2115     304     3278     
2120     305     3286     
2126     306     3294     
2131     307     3302     
2137     307     3311     
2142     308     3319     
2148     309     3328     
2154     310     3336     
2160     310     3345     
2166     311     3354     
2172     311     3362     
2178     312     3371     
2183     313     3380     
2189     313     3388     
2194     314     3395     
2200     315     3404     
2206     315     3412     
2211     316     3420     
2216     317     3428     
2222     317     3436     
2227     318     3445     
2232     319     3452     
2238     319     3460     
2244     320     3468     
2249     321     3477     
2254     322     3485     
2260     324     3493     
2266     325     3502     
2271     326     3510     
2276     327     3520     
2281     328     3528     
2286     328     3538     
2291     329     3546     
2296     329     3553     
2302     330     3561     
2307     331     3569     
2311     332     3576     
2316     332     3583     
2321     333     3592     
2326     334     3599     
2330     335     3607     
2335     335     3615     
2340     335     3622     
2345     336     3630     
2350     337     3637     
2354     338     3644     
2360     339     3653     
2365     340     3660     
2369     341     3667     
2374     341     3675     
2378     342     3683     
2382     343     3691     
2387     344     3699     
2391     345     3707     
2395     346     3714     
2400     347     3722     
2405     348     3730     
2410     349     3756     
2416     350     3766     
2422     351     3775     
2428     352     3785     
2434     353     3795     
2440     354     3804     
2445     355     3813     
2451     356     3824     
2458     357     3834     
2465     358     3844     
2471     359     3855     
2478     360     3864     
2485     360     3873     
2491     361     3882     
2497     362     3892     
2504     363     3901     
2511     364     3911     
2517     365     3921     
2523     366     3931     
2529     366     3941     
2535     366     3951     
2543     367     3965     
2551     368     3974     
2557     370     3984     
2564     371     3995     
2571     372     4005     
2578     373     4014     
2584     374     4025     
2590     375     4034     
2596     376     4044     
2626     377     4054     
2632     378     4064     
2640     379     4076     
2648     380     4087     
2655     381     4098     
2661     382     4109     
2668     383     4120     
2675     383     4132     
2682     384     4143     
2689     385     4154     
2696     386     4165     
2703     387     4176     
2711     388     4186     
2719     389     4197     
2726     390     4208     
2733     391     4218     
2740     392     4229     
2746     393     4240     
2753     394     4250     
2761     395     4261     
2768     396     4272     
2775     397     4282     
2783     398     4293     
2790     399     4303     
2797     400     4314     
2804     401     4325     
2811     402     4335     
2818     403     4345     
2825     404     4355     
2832     405     4365     
2838     406     4376     
2845     407     4386     
2853     408     4396     
2860     409     4407     
2867     410     4417     
2875     411     4429     
2882     412     4440     
2889     413     4451     
2895     414     4463     
2901     415     4474     
2908     416     4484     
2915     417     4495     
2922     418     4506     
2930     419     4519     
2939     420     4531     
2956     421     4539     
